houseName,pricepernight,Location,Rating,photourl,description
Grand Cabin,3135,Bhopal,3.9,https://picsum.photos/seed/home1/800/600,Luxurious stay ideal for families and couples.
Urban Bungalow,5853,Lonavala,4.3,https://picsum.photos/seed/home2/800/600,Modern interiors with a touch of tradition.
Tropical Cabin,6626,Coorg,4.7,https://picsum.photos/seed/home3/800/600,Ideal for weekend getaways and long stays.
Lakeside Homestay,4974,Agra,4.6,https://picsum.photos/seed/home4/800/600,Perfect stay with all modern amenities and scenic views.
Serene Apartment,3365,Darjeeling,4.5,https://picsum.photos/seed/home5/800/600,Ideal for weekend getaways and long stays.
Luxury Retreat,4080,Mahabalipuram,4.0,https://picsum.photos/seed/home6/800/600,Spacious rooms with all essential facilities.
Sunny House,4051,Srinagar,4.9,https://picsum.photos/seed/home7/800/600,Perfect stay with all modern amenities and scenic views.
Royal Apartment,2451,Rishikesh,4.2,https://picsum.photos/seed/home8/800/600,Spacious rooms with all essential facilities.
Luxury Resort,6176,Haridwar,4.3,https://picsum.photos/seed/home9/800/600,Located in the heart of nature with serene views.
Lakeside House,6908,Indore,4.1,https://picsum.photos/seed/home10/800/600,Enjoy peaceful surroundings and warm hospitality.
Rustic Cabin,6075,Mount Abu,4.6,https://picsum.photos/seed/home11/800/600,Perfect stay with all modern amenities and scenic views.
Valley Apartment,5976,Gokarna,4.4,https://picsum.photos/seed/home12/800/600,Perfect stay with all modern amenities and scenic views.
Cozy Resort,6393,Puri,4.0,https://picsum.photos/seed/home13/800/600,Ideal for weekend getaways and long stays.
Sunny Villa,5583,Darjeeling,4.6,https://picsum.photos/seed/home14/800/600,Enjoy peaceful surroundings and warm hospitality.
Luxury Resort,3301,Lonavala,4.4,https://picsum.photos/seed/home15/800/600,Luxurious stay ideal for families and couples.
Tropical Palace,6746,Ahmedabad,4.8,https://picsum.photos/seed/home16/800/600,Perfect stay with all modern amenities and scenic views.
Grand Palace,3261,Ranchi,3.9,https://picsum.photos/seed/home17/800/600,Ideal for weekend getaways and long stays.
Beachside Apartment,4621,Lucknow,4.6,https://picsum.photos/seed/home18/800/600,Spacious rooms with all essential facilities.
Modern Cottage,5136,Shimla,4.4,https://picsum.photos/seed/home19/800/600,Spacious rooms with all essential facilities.
Serene Homestay,6386,Jaipur,4.2,https://picsum.photos/seed/home20/800/600,Perfect stay with all modern amenities and scenic views.
Elegant Cabin,5000,Pune,3.8,https://picsum.photos/seed/home21/800/600,Ideal for weekend getaways and long stays.
Himalayan Bungalow,2864,Kodaikanal,4.0,https://picsum.photos/seed/home22/800/600,Perfect stay with all modern amenities and scenic views.
Tranquil Palace,1951,Patna,4.5,https://picsum.photos/seed/home23/800/600,Enjoy peaceful surroundings and warm hospitality.
Cozy Cottage,4710,Manali,4.8,https://picsum.photos/seed/home24/800/600,Spacious rooms with all essential facilities.
Serene Palace,5009,Manali,3.9,https://picsum.photos/seed/home25/800/600,Ideal for weekend getaways and long stays.
Grand Resort,2013,Pondicherry,4.4,https://picsum.photos/seed/home26/800/600,Modern interiors with a touch of tradition.
Sunny House,4515,Puri,4.8,https://picsum.photos/seed/home27/800/600,Spacious rooms with all essential facilities.
Tranquil Villa,2465,Nainital,3.8,https://picsum.photos/seed/home28/800/600,Located in the heart of nature with serene views.
Lakeside Apartment,2765,Gurugram,4.2,https://picsum.photos/seed/home29/800/600,Luxurious stay ideal for families and couples.
Himalayan Villa,6799,Munnar,4.4,https://picsum.photos/seed/home30/800/600,Perfect stay with all modern amenities and scenic views.
Royal Resort,2137,Lucknow,4.0,https://picsum.photos/seed/home31/800/600,Ideal for weekend getaways and long stays.
Himalayan Villa,4114,Darjeeling,4.9,https://picsum.photos/seed/home32/800/600,Perfect stay with all modern amenities and scenic views.
Charming Homestay,4268,Shimla,4.6,https://picsum.photos/seed/home33/800/600,Enjoy peaceful surroundings and warm hospitality.
Luxury Villa,3448,Hyderabad,3.8,https://picsum.photos/seed/home34/800/600,Located in the heart of nature with serene views.
Valley Cabin,5933,Surat,4.4,https://picsum.photos/seed/home35/800/600,Spacious rooms with all essential facilities.
Valley Resort,1880,Lucknow,4.0,https://picsum.photos/seed/home36/800/600,Spacious rooms with all essential facilities.
Peaceful Apartment,5788,Dehradun,4.5,https://picsum.photos/seed/home37/800/600,Located in the heart of nature with serene views.
Luxury Bungalow,3533,Nainital,4.2,https://picsum.photos/seed/home38/800/600,Located in the heart of nature with serene views.
Beachside Cottage,6546,Shimla,3.8,https://picsum.photos/seed/home39/800/600,Luxurious stay ideal for families and couples.
Tranquil Retreat,6303,Lucknow,4.7,https://picsum.photos/seed/home40/800/600,Perfect stay with all modern amenities and scenic views.
Serene House,6656,Ranchi,3.8,https://picsum.photos/seed/home41/800/600,Enjoy peaceful surroundings and warm hospitality.
Charming Villa,6449,Indore,4.5,https://picsum.photos/seed/home42/800/600,Ideal for weekend getaways and long stays.
Mountain Palace,5046,Mumbai,4.2,https://picsum.photos/seed/home43/800/600,Modern interiors with a touch of tradition.
Beachside Cabin,4886,Bangalore,4.7,https://picsum.photos/seed/home44/800/600,Spacious rooms with all essential facilities.
Sunny Resort,5453,Hyderabad,4.2,https://picsum.photos/seed/home45/800/600,Spacious rooms with all essential facilities.
Luxury Retreat,3937,Dehradun,3.9,https://picsum.photos/seed/home46/800/600,Located in the heart of nature with serene views.
Peaceful Retreat,2482,Gurugram,4.0,https://picsum.photos/seed/home47/800/600,Located in the heart of nature with serene views.
Elegant Haven,5226,Agra,4.6,https://picsum.photos/seed/home48/800/600,Ideal for weekend getaways and long stays.
Valley Apartment,2929,Kolkata,4.4,https://picsum.photos/seed/home49/800/600,Luxurious stay ideal for families and couples.
Tranquil Palace,4471,Hyderabad,4.8,https://picsum.photos/seed/home50/800/600,Ideal for weekend getaways and long stays.
Peaceful Cottage,5753,Mussoorie,4.5,https://picsum.photos/seed/home51/800/600,Luxurious stay ideal for families and couples.
Himalayan Apartment,6411,Mahabalipuram,4.4,https://picsum.photos/seed/home52/800/600,Luxurious stay ideal for families and couples.
Valley Apartment,5807,Kochi,4.1,https://picsum.photos/seed/home53/800/600,Spacious rooms with all essential facilities.
Charming Cabin,4383,Darjeeling,4.0,https://picsum.photos/seed/home54/800/600,Located in the heart of nature with serene views.
Charming Bungalow,6536,Gurugram,4.4,https://picsum.photos/seed/home55/800/600,Spacious rooms with all essential facilities.
Serene Bungalow,5963,Ooty,4.7,https://picsum.photos/seed/home56/800/600,Luxurious stay ideal for families and couples.
Beachside Retreat,6060,Surat,4.1,https://picsum.photos/seed/home57/800/600,Modern interiors with a touch of tradition.
Himalayan Retreat,5159,Bhopal,4.7,https://picsum.photos/seed/home58/800/600,Modern interiors with a touch of tradition.
Modern Cottage,6717,Nainital,4.1,https://picsum.photos/seed/home59/800/600,Located in the heart of nature with serene views.
Himalayan Cabin,5311,Noida,4.3,https://picsum.photos/seed/home60/800/600,Luxurious stay ideal for families and couples.
Lakeside Cabin,5818,Surat,4.5,https://picsum.photos/seed/home61/800/600,Enjoy peaceful surroundings and warm hospitality.
Mountain Bungalow,5875,Puri,4.4,https://picsum.photos/seed/home62/800/600,Enjoy peaceful surroundings and warm hospitality.
